ID	Score	Intervention	Observed Node	Value
1	1.0	ABA=0	Closure	OFF
2	1.0	ABA=1	Closure	ON
3	1.0	ABA=0,ROS=1	Closure	ON
4	1.0	ABA=0,RBOH=0	Closure	OFF
5	1.0	ABA=0,RBOH=0,ROS=1	Closure	ON
6	1.0	ABA=0,ROS=0	Closure	OFF
7	1.0	ABA=1,ROS=0	Closure	OFF/Some
8	1.0	ABA=1,RBOH=0	Closure	OFF/Some
9	1.0	ABA=1,PLDalpha=0,RBOH=0	Closure	OFF
10	1.0	ABA=0,Ca_ext=1	Closure	ON
11	1.0	ABA=0,Ca2osc=0	Closure	OFF
12	1.0	ABA=1,Ca2osc=0	Closure	OFF/Some
13	1.0	ABA=0,SCAB1=1	Closure	OFF
14	1.0	ABA=1,SCAB1=1	Closure	Some/ON
15	1.0	ABA=1,SCAB1=1	Actin_Reorganization	Some/ON
16	1.0	ABA=0,SCAB1=0	Closure	OFF
17	1.0	ABA=1,SCAB1=0	Closure	Some/ON
18	1.0	ABA=1,SCAB1=0	Actin_Reorganization	Some/ON
19	1.0	ABA=0,ROS=1,SCAB1=0	Closure	Some
20	1.0	ABA=0,Ca_ext=1,SCAB1=0	Closure	Some
21	1.0	ABA=0,GEF1_4_10=0	Closure	OFF
22	1.0	ABA=1,GEF1_4_10=0	Closure	ON
23	1.0	ABA=1,GEF1_4_10=1	Closure	Some/ON
24	1.0	ABA=0,SPHK1_2=0	Closure	OFF
25	1.0	ABA=1,SPHK1_2=0	Closure	Some
26	1.0	ABA=0,SPHK1_2=1	Closure	OFF
27	1.0	ABA=1,SPHK1_2=1	Closure	ON
28	1.0	ABA=0,ABI1=0	Closure	OFF
29	1.0	ABA=1,ABI1=0	Closure	ON
30	1.0	ABA=0,HAB1=0	Closure	OFF
31	1.0	ABA=1,HAB1=0	Closure	ON
32	1.0	ABA=0,ABI1=0,HAB1=0	Closure	OFF
33	1.0	ABA=1,ABI1=0,HAB1=0	Closure	ON
34	1.0	ABA=0,ABI1=0,ROS=1	Closure	ON
35	1.0	ABA=0,ABI1=0,NO=1	Closure	ON
36	1.0	ABA=0,ABI1=1	Closure	OFF
37	1.0	ABA=1,ABI1=1	Closure	OFF
38	1.0	ABA=0,ABI1=1,ROS=1	Closure	OFF
39	1.0	ABA=0,ABI2=0	Closure	OFF
40	1.0	ABA=1,ABI2=0	Closure	ON
41	1.0	ABA=0,ABI2=1	Closure	OFF
42	1.0	ABA=1,ABI2=1	Closure	OFF/Some
43	1.0	ABA=0,RCARs=1	Closure	OFF
44	1.0	ABA=1,RCARs=1	Closure	ON
45	1.0	ABA=0,RCARs=0	Closure	OFF
46	1.0	ABA=1,RCARs=0	Closure	Some
47	1.0	ABA=0,Ca_ext=1,RCARs=0	Closure	Some/ON
48	1.0	ABA=0,GCR1=0	Closure	OFF
49	1.0	ABA=1,GCR1=0	Closure	ON
50	1.0	ABA=0,TCTP=1	Closure	OFF
51	1.0	ABA=1,TCTP=1	Closure	ON
52	1.0	ABA=0,S1P_PhytoS1P=0	Closure	OFF
53	1.0	ABA=1,S1P_PhytoS1P=0	Closure	OFF/Some
54	1.0	ABA=0,OST1=0	Closure	OFF
55	1.0	ABA=1,OST1=0	Closure	OFF
56	1.0	ABA=0,OST1=1	Closure	OFF
57	1.0	ABA=1,OST1=1	Closure	ON
58	1.0	ABA=0,ERA1=0	Closure	OFF/Some
59	1.0	ABA=1,ERA1=0	Closure	ON
60	1.0	ABA=0,ABH1=0	Closure	OFF/Some
61	1.0	ABA=1,ABH1=0	Closure	ON
62	1.0	ABA=0,PLDalpha=0	Closure	OFF
63	1.0	ABA=1,PLDalpha=0	Closure	OFF/Some
64	1.0	ABA=0,PLDalpha=0,ROS=1	Closure	ON
65	1.0	ABA=0,PLDdelta=0	Closure	OFF
66	1.0	ABA=1,PLDdelta=0	Closure	OFF
67	1.0	ABA=0,PLDdelta=0,ROS=1	Closure	OFF
68	1.0	ABA=0,PA=1	Closure	Some/ON
69	1.0	ABA=1,PA=1	Closure	ON
70	1.0	ABA=0,PLDalpha=0,PLDdelta=0	Closure	OFF
71	1.0	ABA=1,PLDalpha=0,PLDdelta=0	Closure	Some
72	1.0	ABA=0,PLDalpha=0,PLDdelta=0,ROS=1	Closure	Some/ON
73	1.0	ABA=0,PA=1,PLDalpha=0,PLDdelta=0	Closure	Some/ON
74	1.0	ABA=0,DAG=1	Closure	OFF
75	1.0	ABA=0,ABI1=0,PA=1	Closure	Some/ON
76	1.0	ABA=0,ABI1=1,PA=1	Closure	OFF
77	1.0	ABA=0,PA=1,PLDalpha=0	Closure	Some/ON
78	1.0	ABA=0,PA=1,PLDdelta=0	Closure	Some/ON
79	1.0	ABA=0,GPA1=0,PA=1	Closure	Some/ON
80	1.0	ABA=0,GPA1=0,PA=1,PLDalpha=0	Closure	Some/ON
81	1.0	ABA=0,ABI1=0,PLDalpha=0	Closure	OFF
82	1.0	ABA=1,ABI1=0,PLDalpha=0	Closure	ON
83	1.0	ABA=0,GPA1=0	Closure	OFF
84	1.0	ABA=1,GPA1=0	Closure	ON
85	1.0	ABA=0,GPA1=0,PLDalpha=0	Closure	OFF
86	1.0	ABA=1,GPA1=0,PLDalpha=0	Closure	OFF
87	1.0	ABA=0,PP2CA=0	Closure	OFF
88	1.0	ABA=0,PA=1,PP2CA=0	Closure	Some/ON
89	1.0	ABA=0,Ca2osc=0,PLDalpha=0	Closure	OFF
90	1.0	ABA=1,Ca2osc=0,PLDalpha=0	Closure	OFF/Some
91	1.0	ABA=0,PA=1,Ca2osc=0	Closure	Some/ON
92	1.0	ABA=0,PA=1,Ca2osc=0,PLDalpha=0	Closure	Some/ON
93	1.0	ABA=0,CPK3_21=0	Closure	OFF
94	1.0	ABA=1,CPK3_21=0	Closure	Some/ON
95	1.0	ABA=0,CPK6=0	Closure	OFF
96	1.0	ABA=1,CPK6=0	Closure	Some/ON
97	1.0	ABA=0,CPK3_21=0,CPK6=0	Closure	OFF
98	1.0	ABA=1,CPK3_21=0,CPK6=0	Closure	OFF/Some
99	1.0	ABA=0,cGMP=1	Closure	OFF
100	1.0	ABA=1,NOGC1=0,cGMP=1	Closure	Some/ON
101	1.0	ABA=0,cADPR=0	Closure	OFF/Some
102	1.0	ABA=1,cADPR=0	Closure	Some/ON
103	1.0	ABA=0,ADPRc=0	Closure	OFF
104	1.0	ABA=1,ADPRc=0	Closure	OFF/Some
105	1.0	ABA=0,PI3P5K=0	Closure	OFF
106	1.0	ABA=1,PI3P5K=0	Closure	Some/ON
107	1.0	ABA=0,V-ATPase=0	Closure	OFF
108	1.0	ABA=1,V-ATPase=0	Closure	Some/ON
109	1.0	ABA=0,V-PPase=0	Closure	OFF
110	1.0	ABA=1,V-PPase=0	Closure	Some/ON
111	1.0	ABA=0,Vacuolar_Acidification=0	Closure	OFF
112	1.0	ABA=1,Vacuolar_Acidification=0	Closure	Some
113	1.0	ABA=0,PLC=0	Closure	OFF/Some
114	1.0	ABA=1,PLC=0	Closure	Some/ON
115	1.0	ABA=0,InsP3=0	Closure	OFF
116	1.0	ABA=1,InsP3=0	Closure	OFF/Some
117	1.0	ABA=1,PLDalpha=0,PLDdelta=0,cADPR=0	Closure	OFF
118	1.0	ABA=1,PLC=0,PLDalpha=0,PLDdelta=0	Closure	OFF/Some
119	1.0	ABA=1,PLC=0,cADPR=0	Closure	OFF
120	1.0	ABA=1,PLC=0,PLDalpha=0,PLDdelta=0,cADPR=0	Closure	OFF
121	1.0	ABA=0,pHc=0	Closure	OFF
122	1.0	ABA=1,pHc=0	Closure	OFF/Some
123	1.0	ABA=0,OST1=0,pHc=0	Closure	OFF
124	1.0	ABA=1,OST1=0,pHc=0	Closure	OFF
125	1.0	ABA=1,GPA1=0,pHc=0	Closure	OFF/Some
126	1.0	ABA=0,NO=1,RBOH=0	Closure	ON
127	1.0	ABA=0,PtdInsP4=0	Closure	OFF
128	1.0	ABA=1,PtdInsP4=0	Closure	OFF/Some
129	1.0	ABA=0,PtdInsP3=0	Closure	OFF
130	1.0	ABA=1,PtdInsP3=0	Closure	OFF/Some
131	1.0	ABA=1,PtdInsP3=0,PtdInsP4=0	Closure	OFF/Some
132	1.0	ABA=0,ROP11=1	Closure	OFF
133	1.0	ABA=1,ROP11=1	Closure	Some
134	1.0	ABA=0,ROP11=0	Closure	OFF
135	1.0	ABA=1,ROP11=0	Closure	ON
136	1.0	ABA=0,KOUT=0	Closure	OFF
137	1.0	ABA=1,KOUT=0	Closure	Some
138	1.0	ABA=0,K_efflux=0	Closure	OFF
139	1.0	ABA=1,K_efflux=0	Closure	Some
140	1.0	ABA=0,KOUT=0	ROS	OFF
141	1.0	ABA=1,KOUT=0	ROS	ON
142	1.0	ABA=0,KOUT=0,pHc=0	Closure	OFF
143	1.0	ABA=1,KOUT=0,pHc=0	Closure	Some
144	1.0	ABA=0,PP2CA=1	Closure	OFF
145	1.0	ABA=1,PP2CA=1	Closure	Some
146	1.0	ABA=1,PP2CA=0	Closure	ON
147	1.0	ABA=0,H_ATPase=1	Closure	OFF
148	1.0	ABA=1,H_ATPase=1	Closure	Some
149	1.0	ABA=0,AtRAC1=0	Closure	Some/ON
150	1.0	ABA=0,AtRAC1=1	Closure	OFF
151	1.0	ABA=1,AtRAC1=1	Closure	Some
152	1.0	ABA=0,QUAC1=0	Closure	OFF
153	1.0	ABA=1,QUAC1=0	Closure	OFF/Some
154	1.0	ABA=0,Ca_ext=1,QUAC1=0	Closure	OFF
155	1.0	ABA=0,GAPC1_2=0	Closure	OFF
156	1.0	ABA=1,GAPC1_2=0	Closure	Some
157	1.0	ABA=0,GAPC1_2=0,ROS=1	Closure	Some
158	1.0	ABA=0,GAPC1_2=0,PLDdelta=0	Closure	OFF
159	1.0	ABA=1,GAPC1_2=0,PLDdelta=0	Closure	OFF/Some
160	1.0	ABA=0,GAPC1_2=0,PLDdelta=0,ROS=1	Closure	OFF/Some
161	1.0	ABA=0,MPK9_12=0	Closure	OFF
162	1.0	ABA=1,MPK9_12=0	Closure	OFF/Some
163	1.0	ABA=0,MPK9_12=0,ROS=1	Closure	Some
164	1.0	ABA=0,SLAC1=0	Closure	OFF
165	1.0	ABA=1,SLAC1=0	Closure	OFF
166	1.0	ABA=0,ARP_Complex=0	Closure	OFF/Some
167	1.0	ABA=1,ARP_Complex=0	Closure	OFF/Some
168	1.0	ABA=0,ARP_Complex=0,Ca_ext=1	Closure	Some
169	1.0	ABA=0,ARP_Complex=0	Actin_Reorganization	OFF
170	1.0	ABA=1,ARP_Complex=0	Actin_Reorganization	OFF/Some
171	1.0	ABA=0,AquaporinPIP2_1=0	Closure	OFF
172	1.0	ABA=1,AquaporinPIP2_1=0	Closure	Some
173	1.0	ABA=0,GHR1=0	Closure	OFF
174	1.0	ABA=1,GHR1=0	Closure	OFF
175	1.0	ABA=0,GHR1=0,ROS=1	Closure	OFF
176	1.0	ABA=0,OST1=0,ROS=1	Closure	Some/ON
177	1.0	ABA=0,Ca_ext=1,GHR1=0	Closure	ON
178	1.0	ABA=0,RCN1=0	Closure	OFF/Some
179	1.0	ABA=1,RCN1=0	Closure	Some
180	1.0	ABA=0,SPP1=0	Closure	OFF
181	1.0	ABA=1,SPP1=0	Closure	ON
182	1.0	ABA=0,NIA1_2=0	Closure	OFF/Some
183	1.0	ABA=1,NIA1_2=0	Closure	OFF
184	1.0	ABA=0,Microtubule_Depolymerization=0	Closure	OFF
185	1.0	ABA=1,Microtubule_Depolymerization=0	Closure	OFF/Some
186	1.0	ABA=0,Microtubule_Depolymerization=1	Closure	OFF
187	1.0	ABA=1,Microtubule_Depolymerization=1	Closure	ON
188	1.0	ABA=0,Microtubule_Depolymerization=1,PLDalpha=0	Closure	OFF
189	1.0	ABA=1,Microtubule_Depolymerization=1,PLDalpha=0	Closure	Some/ON
190	1.0	ABA=0,Microtubule_Depolymerization=1,PP2CA=0	Closure	OFF
191	1.0	ABA=1,Microtubule_Depolymerization=1,PP2CA=0	Closure	ON
192	1.0	ABA=0,Microtubule_Depolymerization=0,PLDalpha=0	Closure	OFF
193	1.0	ABA=1,Microtubule_Depolymerization=0,PLDalpha=0	Closure	OFF
194	1.0	ABA=0,Microtubule_Depolymerization=0,PP2CA=0	Closure	OFF
195	1.0	ABA=1,Microtubule_Depolymerization=0,PP2CA=0	Closure	ON
196	1.0	ABA=0,NOGC1=0	Closure	OFF
197	1.0	ABA=1,NOGC1=0	Closure	OFF
198	1.0	ABA=0,NO=1,NOGC1=0	Closure	OFF
199	1.0	ABA=0,MRP5=0	Closure	OFF
200	1.0	ABA=1,MRP5=0	Closure	Some
201	1.0	ABA=0,pHc=1	Closure	Some/ON
202	1.0	ABA=1,pHc=1	Closure	ON
203	1.0	ABA=0,NO=0	Closure	OFF
204	1.0	ABA=1,NO=0	Closure	OFF
205	1.0	ABA=1,SLAH3=0	Closure	ON
206	1.0	ABA=0,NtSyp121=0	Closure	OFF
207	1.0	ABA=1,NtSyp121=0	Closure	OFF
208	1.0	ABA=0,S1P_PhytoS1P=1	Closure	Some/ON
209	1.0	ABA=0,GPA1=0,S1P_PhytoS1P=1	Closure	OFF/Some
210	1.0	ABA=0,Nitrite=1	Closure	Some/ON
211	1.0	ABA=0,Nitrite=1,NIA1_2=0	Closure	OFF
212	1.0	ABA=0,NO=1	Closure	Some/ON
213	1.0	ABA=0,NIA1_2=0,NO=1	Closure	Some/ON
214	1.0	ABA=0,NIA1_2=0,ROS=1	Closure	Some/ON
215	1.0	ABA=0,NO=1,NOGC1=0,cGMP=1	Closure	Some/ON
216	1.0	ABA=0,GPA1=0,ROS=1	Closure	ON
217	1.0	ABA=0,Actin_Reorganization=0,ROS=1	Closure	Some
218	1.0	ABA=0,8-nitro-cGMP=1	Closure	Some
219	1.0	ABA=0,8-nitro-cGMP=1,SLAC1=0	Closure	OFF
220	1.0	ABA=0,cADPR=1	Closure	ON
221	1.0	ABA=0,ABI1=1,AtRAC1=0	Closure	Some/ON
222	1.0	ABA=0,ABI1=1,AtRAC1=1	Closure	OFF
223	1.0	ABA=0,InsP3=1	Closure	Some/ON
224	1.0	ABA=0,InsP3=1	Ca2osc	ON
225	1.0	ABA=0,CaIM=0	Closure	OFF
226	1.0	ABA=0,CaIM=0	Ca2osc	OFF
227	1.0	ABA=0,CaIM=0,InsP3=1	Closure	Some/ON
228	1.0	ABA=0,CaIM=0,InsP3=1	Ca2osc	ON
229	1.0	ABA=0,NO=1,NtSyp121=0	Closure	Some
230	1.0	ABA=0,NO=1,PLC=0	Closure	OFF
231	1.0	ABA=0,NO=1,PLDdelta=0	Closure	OFF
232	1.0	ABA=0,NO=1,PLDalpha=0	Closure	Some/ON
233	1.0	ABA=0,NO=1,PLDalpha=0,PLDdelta=0	Closure	OFF
234	1.0	ABA=0,8-nitro-cGMP=1,cADPR=0	Closure	OFF
